2024-05-10 10:15:24.282 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-05-10 10:15:24.282 [info] Added views:workbench.panel.output in workbench.panel.output
2024-05-10 10:15:24.282 [info] Added views:terminal in terminal
2024-05-10 10:15:24.282 [info] Added views:outline in workbench.view.explorer
2024-05-10 10:15:24.282 [info] Added views:workbench.scm in workbench.view.scm
2024-05-10 10:15:24.282 [info] Added views:workbench.view.search in workbench.view.search
2024-05-10 10:15:24.282 [info] Added views:timeline in workbench.view.explorer
2024-05-10 10:15:24.282 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-05-10 10:15:28.711 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:15:30.890 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-10 10:15:37.518 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-05-10 10:15:48.395 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-05-10 10:17:05.405 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-05-10 10:17:18.410 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:17:18.603 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:17:31.184 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:17:31.283 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:17:35.987 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:17:36.160 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:17:36.952 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:17:37.068 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:18:01.130 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:18:01.206 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:18:02.044 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:18:02.145 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:18:05.875 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:18:05.949 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:18:06.719 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:18:06.835 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:18:10.557 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:18:10.656 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:18:11.467 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:18:11.562 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:18:14.687 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:18:15.035 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:18:15.858 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:18:16.003 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:18:23.777 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:18:23.853 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:18:24.677 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:18:24.796 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:20:50.230 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:20:50.325 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:20:51.122 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:20:51.259 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:21:36.307 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:21:36.582 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:21:40.307 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:21:40.386 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:22:37.488 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:22:37.614 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:22:38.420 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:22:38.533 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:23:50.217 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:23:50.393 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:23:51.092 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:23:51.228 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:28:35.989 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:28:36.080 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:28:44.829 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:28:44.945 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:29:07.342 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:29:07.452 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:29:20.226 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:29:20.319 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:30:13.325 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:30:13.422 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:30:14.259 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:30:14.355 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:30:41.959 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:30:42.048 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:31:07.553 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:31:07.749 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:31:16.947 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:31:17.024 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:31:34.166 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:31:34.307 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:35:51.466 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:35:51.570 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:36:03.797 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:36:04.169 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:36:31.416 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:36:31.500 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:36:35.433 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:36:35.522 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:36:53.204 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:36:53.364 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:37:13.036 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:37:13.140 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:39:03.978 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:39:04.057 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:39:04.898 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:39:04.991 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:39:29.825 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:39:29.940 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:39:30.849 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:39:30.969 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:39:37.569 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:39:37.721 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:39:38.494 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:39:38.593 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:39:51.389 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:39:51.471 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:39:52.318 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:39:52.422 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:40:12.097 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:40:12.265 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:40:16.485 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:40:16.615 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:40:52.992 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:40:53.067 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:40:58.178 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:40:58.327 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:41:07.421 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:41:07.677 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:41:08.321 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:41:08.429 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:41:21.388 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:41:21.511 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:41:25.329 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:41:25.436 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:42:39.216 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:42:39.451 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:42:40.232 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:42:40.321 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:42:48.888 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:42:48.966 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:42:49.811 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:42:49.906 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:43:59.255 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:43:59.333 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:44:00.136 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:44:00.250 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:44:18.070 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:44:18.164 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:44:19.009 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:44:19.255 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:44:31.737 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:44:31.881 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:44:32.655 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:44:32.753 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:53:02.266 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:53:02.382 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:53:06.539 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:53:06.589 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:53:25.606 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:53:25.650 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:53:32.230 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:53:32.279 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:54:31.742 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 10:54:31.794 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 10:54:37.072 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 10:54:37.177 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 10:58:37.935 [info] Removed views:workbench.debug.welcome from workbench.view.debug
